sequence,condition,mode,ate_rmse,ate_mean,ate_median,ate_std,pct_vs_clean
traj1,blur_lv1,stereo,0.006883,0.006108,0.005591,0.003174,
traj1,blur_lv2,stereo,0.007185,0.006333,0.005725,0.003392,
traj1,blur_lv3,stereo,0.007683,0.006776,0.006030,0.003621,
traj1,blur_lv4,stereo,0.008231,0.007163,0.006329,0.004055,
traj1,blur_lv5,stereo,0.008562,0.007328,0.006386,0.004428,
traj1,blur_lv5b,stereo,0.008774,0.007537,0.006659,0.004492,
traj1,blur_lv5c,stereo,0.010193,0.008291,0.006915,0.005930,
traj1,blur_lv5c1,stereo,FAIL,,,,
traj1,blur_lv5c2,stereo,FAIL,,,,
traj1,blur_lv5c3,stereo,FAIL,,,,
traj1,blur_lv5d,stereo,FAIL,,,,
traj1,blur_lv5e,stereo,FAIL,,,,
traj1,blur_lv5f,stereo,FAIL,,,,
traj1,blur_lv6,stereo,FAIL,,,,
traj1,blur_lv7,stereo,FAIL,,,,
