sequence,condition,mode,ate_rmse,ate_mean,ate_median,ate_std,pct_vs_clean
traj1,snp_lv1,stereo,0.008913,0.007570,0.006454,0.004705,
traj1,snp_lv2,stereo,0.009092,0.007648,0.006567,0.004917,
traj1,snp_lv3,stereo,0.008807,0.007384,0.006224,0.004799,
traj1,snp_lv4,stereo,0.008600,0.007266,0.006076,0.004600,
traj1,snp_lv5,stereo,0.008930,0.007453,0.006359,0.004920,
traj1,snp_lv6,stereo,0.009152,0.007693,0.006509,0.004958,
traj1,snp_lv7,stereo,0.008905,0.007532,0.006407,0.004751,
traj1,snp_lv7a1,stereo,0.010333,0.008346,0.007043,0.006092,
traj1,snp_lv7a2,stereo,0.009661,0.008184,0.007029,0.005134,
traj1,snp_lv7a3,stereo,0.014308,0.010115,0.007510,0.010120,
traj1,snp_lv7a4,stereo,0.008721,0.007357,0.006242,0.004683,
traj1,snp_lv7b,stereo,FAIL,,,,
traj1,snp_lv7c,stereo,FAIL,,,,
traj1,snp_lv7d,stereo,FAIL,,,,
traj1,snp_lv7e,stereo,FAIL,,,,
traj1,snp_lv7f,stereo,FAIL,,,,
traj1,snp_lv8,stereo,FAIL,,,,
